Município,Total,Única,Proporção casais sem filhos,Nível,Código,Índice de envelhecimento,Renda média 60+,nome,UF
bom jesus do tocantins,1513.0,1036.0,0.6847323198942499,MU,1501576,29.89,2113.48,bom jesus do tocantins,15.0
bom jesus do tocantins,1513.0,1036.0,0.6847323198942499,MU,1501576,29.89,2113.48,bom jesus do tocantins,17.0
bom jesus do tocantins,1513.0,1036.0,0.6847323198942499,MU,1501576,31.0,2113.48,bom jesus do tocantins,15.0
bom jesus do tocantins,1513.0,1036.0,0.6847323198942499,MU,1501576,31.0,2113.48,bom jesus do tocantins,17.0
bom jesus do tocantins,1513.0,1036.0,0.6847323198942499,MU,1501576,124.05,2113.48,bom jesus do tocantins,15.0
bom jesus do tocantins,1513.0,1036.0,0.6847323198942499,MU,1501576,124.05,2113.48,bom jesus do tocantins,17.0
bonito,1219.0,982.0,0.8055783429040196,MU,1501600,33.5,1276.3249999999998,bonito,26.0
bonito,1219.0,982.0,0.8055783429040196,MU,1501600,33.5,1276.3249999999998,bonito,29.0
bonito,1219.0,982.0,0.8055783429040196,MU,1501600,33.5,1276.3249999999998,bonito,15.0
bonito,1219.0,982.0,0.8055783429040196,MU,1501600,33.5,1276.3249999999998,bonito,50.0
bonito,1219.0,982.0,0.8055783429040196,MU,1501600,30.0,1276.3249999999998,bonito,26.0
bonito,1219.0,982.0,0.8055783429040196,MU,1501600,30.0,1276.3249999999998,bonito,29.0
bonito,1219.0,982.0,0.8055783429040196,MU,1501600,30.0,1276.3249999999998,bonito,15.0
bonito,1219.0,982.0,0.8055783429040196,MU,1501600,30.0,1276.3249999999998,bonito,50.0
bonito,1219.0,982.0,0.8055783429040196,MU,1501600,105.4,1276.3249999999998,bonito,26.0
bonito,1219.0,982.0,0.8055783429040196,MU,1501600,105.4,1276.3249999999998,bonito,29.0
bonito,1219.0,982.0,0.8055783429040196,MU,1501600,105.4,1276.3249999999998,bonito,15.0
bonito,1219.0,982.0,0.8055783429040196,MU,1501600,105.4,1276.3249999999998,bonito,50.0
bragança,11398.0,8073.0,0.7082821547639937,MU,1501709,30.55,1692.805,bragança,15.0
bragança,11398.0,8073.0,0.7082821547639937,MU,1501709,29.0,1692.805,bragança,15.0
bragança,11398.0,8073.0,0.7082821547639937,MU,1501709,100.13,1692.805,bragança,15.0
brasil novo,2035.0,1313.0,0.6452088452088452,MU,1501725,28.28,2898.705,brasil novo,15.0
brasil novo,2035.0,1313.0,0.6452088452088452,MU,1501725,30.0,2898.705,brasil novo,15.0
brasil novo,2035.0,1313.0,0.6452088452088452,MU,1501725,104.57,2898.705,brasil novo,15.0
brejo grande do araguaia,668.0,514.0,0.7694610778443114,MU,1501758,35.06,2415.04,brejo grande do araguaia,15.0
brejo grande do araguaia,668.0,514.0,0.7694610778443114,MU,1501758,30.0,2415.04,brejo grande do araguaia,15.0
brejo grande do araguaia,668.0,514.0,0.7694610778443114,MU,1501758,102.84,2415.04,brejo grande do araguaia,15.0
breu branco,3987.0,2857.0,0.7165788813644344,MU,1501782,25.95,1934.815,breu branco,15.0
breu branco,3987.0,2857.0,0.7165788813644344,MU,1501782,27.0,1934.815,breu branco,15.0
breu branco,3987.0,2857.0,0.7165788813644344,MU,1501782,102.16,1934.815,breu branco,15.0
breves,6189.0,3327.0,0.5375666505089676,MU,1501808,15.86,1673.74,breves,15.0
breves,6189.0,3327.0,0.5375666505089676,MU,1501808,22.0,1673.74,breves,15.0
breves,6189.0,3327.0,0.5375666505089676,MU,1501808,106.94,1673.74,breves,15.0
bujaru,1958.0,1382.0,0.7058222676200204,MU,1501907,27.06,1263.17,bujaru,15.0
bujaru,1958.0,1382.0,0.7058222676200204,MU,1501907,27.0,1263.17,bujaru,15.0
bujaru,1958.0,1382.0,0.7058222676200204,MU,1501907,102.68,1263.17,bujaru,15.0
cachoeira do piriá,1594.0,1135.0,0.7120451693851945,MU,1501956,18.32,1048.6950000000002,cachoeira do piriá,15.0
cachoeira do piriá,1594.0,1135.0,0.7120451693851945,MU,1501956,25.0,1048.6950000000002,cachoeira do piriá,15.0
cachoeira do piriá,1594.0,1135.0,0.7120451693851945,MU,1501956,111.55,1048.6950000000002,cachoeira do piriá,15.0
cachoeira do arari,2414.0,1369.0,0.5671085335542668,MU,1502004,26.05,886.62,cachoeira do arari,15.0
cachoeira do arari,2414.0,1369.0,0.5671085335542668,MU,1502004,28.0,886.62,cachoeira do arari,15.0
cachoeira do arari,2414.0,1369.0,0.5671085335542668,MU,1502004,102.29,886.62,cachoeira do arari,15.0
cametá,9873.0,4982.0,0.5046085283095311,MU,1502103,26.68,1793.62,cametá,15.0
cametá,9873.0,4982.0,0.5046085283095311,MU,1502103,26.0,1793.62,cametá,15.0
cametá,9873.0,4982.0,0.5046085283095311,MU,1502103,105.35,1793.62,cametá,15.0
canaã dos carajás,6389.0,5082.0,0.7954296447018313,MU,1502152,11.6,2492.815,canaã dos carajás,15.0
canaã dos carajás,6389.0,5082.0,0.7954296447018313,MU,1502152,27.0,2492.815,canaã dos carajás,15.0
canaã dos carajás,6389.0,5082.0,0.7954296447018313,MU,1502152,104.5,2492.815,canaã dos carajás,15.0
capanema,7409.0,5607.0,0.7567822918072614,MU,1502202,40.35,1671.47,capanema,15.0
capanema,7409.0,5607.0,0.7567822918072614,MU,1502202,40.35,1671.47,capanema,41.0
capanema,7409.0,5607.0,0.7567822918072614,MU,1502202,32.0,1671.47,capanema,15.0
capanema,7409.0,5607.0,0.7567822918072614,MU,1502202,32.0,1671.47,capanema,41.0
